id,description,lesson,amount,max_total_time,max_word_time,create_time,author_id
1,第一课单词练习,1,0,7200,120,2022-01-25 14:32:51.336082,1
2,第二课单词练习,2,0,7200,120,2022-01-25 14:33:17.563915,1
3,第三课单词练习,3,0,7200,120,2022-01-25 14:32:51.336082,1
4,第四课单词练习,4,0,7200,120,2022-01-25 14:33:17.563915,1
5,第五课单词练习,5,0,7200,120,2022-01-25 14:33:17.563915,1
6,第六课单词练习,6,0,7200,120,2022-01-25 14:33:17.563915,1
7,第七课单词练习,7,0,7200,120,2022-01-25 14:33:17.563915,1
8,第八课单词练习,8,0,7200,120,2022-01-25 14:33:17.563915,1
9,第九课单词练习,9,0,7200,120,2022-01-25 14:33:17.563915,1
10,第十课单词练习,10,0,7200,120,2022-01-25 14:33:17.563915,1
11,第十一课单词练习,11,0,7200,120,2022-01-25 14:33:17.563915,1
12,第十二课单词练习,12,0,7200,120,2022-01-25 14:33:17.563915,1
13,第十三课单词练习,13,0,7200,120,2022-01-25 14:33:17.563915,1
14,第十四课单词练习,14,0,7200,120,2022-01-25 14:33:17.563915,1
15,第十五课单词练习,15,0,7200,120,2022-01-25 14:33:17.563915,1
16,第十六课单词练习,16,0,7200,120,2022-01-25 14:33:17.563915,1
17,第十七课单词练习,17,0,7200,120,2022-01-25 14:33:17.563915,1
18,第十八课单词练习,18,0,7200,120,2022-01-25 14:33:17.563915,1
19,第十九课单词练习,19,0,7200,120,2022-01-25 14:33:17.563915,1
20,第二十一课单词练习,20,0,7200,120,2022-01-25 14:33:17.563915,1
21,第二十二课单词练习,21,0,7200,120,2022-01-25 14:33:17.563915,1
22,第二十三课单词练习,22,0,7200,120,2022-01-25 14:33:17.563915,1
23,第二十四课单词练习,23,0,7200,120,2022-01-25 14:33:17.563915,1
24,第二十五课单词练习,24,0,7200,120,2022-01-25 14:33:17.563915,1
